Produto,Marca,Preço,Produto Base,Data,Loja
Mortadela defumada fatiada Seara Gourmet 200g,Seara,6.47,Mortadela Gourmet,17-12-21,Pão de Açúcar
Mortadela Defumada Perdigão Ouro 200g,Perdigão,7.99,Mortadela Gourmet,17-12-21,Pão de Açúcar
Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g,Sadia,5.59,Mortadela Gourmet,17-12-21,Pão de Açúcar
Mortadela defumada fatiada Seara Gourmet 200g,Seara,7.19,Mortadela Gourmet,18-12-21,Pão de Açúcar
Mortadela Defumada Perdigão Ouro 200g,Perdigão,7.99,Mortadela Gourmet,18-12-21,Pão de Açúcar
Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g,Sadia,0,Mortadela Gourmet,18-12-21,Pão de Açúcar
Mortadela defumada fatiada Seara Gourmet 200g,Seara,7.19,Mortadela Gourmet,20-12-21,Pão de Açúcar
Mortadela Defumada Perdigão Ouro 200g,Perdigão,7.99,Mortadela Gourmet,20-12-21,Pão de Açúcar
Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g,Sadia,0,Mortadela Gourmet,20-12-21,Pão de Açúcar
Mortadela defumada fatiada Seara Gourmet 200g,Seara,7.19,Mortadela Gourmet,21-12-21,Pão de Açúcar
Mortadela Defumada Perdigão Ouro 200g,Perdigão,7.99,Mortadela Gourmet,21-12-21,Pão de Açúcar
Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g,Sadia,0,Mortadela Gourmet,21-12-21,Pão de Açúcar
Hambúrguer Vegetariano SADIA Veg & Tal Pacote 226g,Sadia,0,Linha Incrível,21-12-21,Pão de Açúcar
Hambúrguer De Ervilha Sabor Carne SEARA Incrível 226g,Seara,27.49,Linha Incrível,21-12-21,Pão de Açúcar
Hambúrguer de carne vegetal Not Burger 200g,NotCo,18.9,Linha Incrível,21-12-21,Pão de Açúcar
Mortadela defumada fatiada Seara Gourmet 200g,Seara,7.19,Mortadela Gourmet,22-12-21,Pão de Açúcar
Mortadela Defumada Perdigão Ouro 200g,Perdigão,7.99,Mortadela Gourmet,22-12-21,Pão de Açúcar
Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g,Sadia,0,Mortadela Gourmet,22-12-21,Pão de Açúcar
Hambúrguer Vegetariano SADIA Veg & Tal Pacote 226g,Sadia,0,Linha Incrível,22-12-21,Pão de Açúcar
Hambúrguer De Ervilha Sabor Carne SEARA Incrível 226g,Seara,27.49,Linha Incrível,22-12-21,Pão de Açúcar
Hambúrguer de carne vegetal Not Burger 200g,NotCo,18.9,Linha Incrível,22-12-21,Pão de Açúcar
Margarina com sal Doriana 500g,Doriana,7.29,Doriana,22-12-21,Pão de Açúcar
Margarina Cremosa com Sal QUALY Pote 500g,Qualy,8.99,Doriana,22-12-21,Pão de Açúcar
Margarina Sabor Manteiga Cremosa com Sal VIGOR Pote 500g,Vigor,8.59,Doriana,22-12-21,Pão de Açúcar
Margarina Cremosa DELÍCIA Com Sal Pote 500g,Delícia,7.99,Doriana,22-12-21,Pão de Açúcar
Mortadela defumada fatiada Seara Gourmet 200g,Seara,5.75,Mortadela Gourmet,23-12-21,Pão de Açúcar
Mortadela Defumada Perdigão Ouro 200g,Perdigão,6.39,Mortadela Gourmet,23-12-21,Pão de Açúcar
Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g,Sadia,0,Mortadela Gourmet,23-12-21,Pão de Açúcar
Hambúrguer Vegetariano SADIA Veg & Tal Pacote 226g,Sadia,0,Linha Incrível,23-12-21,Pão de Açúcar
Hambúrguer De Ervilha Sabor Carne SEARA Incrível 226g,Seara,27.49,Linha Incrível,23-12-21,Pão de Açúcar
Hambúrguer de carne vegetal Not Burger 200g,NotCo,18.9,Linha Incrível,23-12-21,Pão de Açúcar
Margarina com sal Doriana 500g,Doriana,7.29,Doriana,23-12-21,Pão de Açúcar
Margarina Cremosa com Sal QUALY Pote 500g,Qualy,8.99,Doriana,23-12-21,Pão de Açúcar
Margarina Sabor Manteiga Cremosa com Sal VIGOR Pote 500g,Vigor,8.59,Doriana,23-12-21,Pão de Açúcar
Margarina Cremosa DELÍCIA Com Sal Pote 500g,Delícia,7.99,Doriana,23-12-21,Pão de Açúcar
Mortadela defumada fatiada Seara Gourmet 200g,Seara,5.39,Mortadela Gourmet,27-12-21,Pão de Açúcar
Mortadela Defumada Perdigão Ouro 200g,Perdigão,6.39,Mortadela Gourmet,27-12-21,Pão de Açúcar
Mortadela Defumada Fatiada SADIA Soltíssimo Bandeja 200g,Sadia,0,Mortadela Gourmet,27-12-21,Pão de Açúcar
Hambúrguer Vegetariano SADIA Veg & Tal Pacote 226g,Sadia,0,Linha Incrível,27-12-21,Pão de Açúcar
Hambúrguer De Ervilha Sabor Carne SEARA Incrível 226g,Seara,27.49,Linha Incrível,27-12-21,Pão de Açúcar
Hambúrguer de carne vegetal Not Burger 200g,NotCo,18.9,Linha Incrível,27-12-21,Pão de Açúcar
